Int1;Int2;Int3;Int4;Int5;Int6;Int7;Int8;Int9;Int10;Int11;Int12;Int13;Desc1;Desc2;Desc3;Esc1;Esc2;Esc3
0;270;200;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100;100000;100000
270;0;250;100000;100000;100000;100000;260;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000
100000;250;0;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000
100000;100000;100000;0;200;100000;100000;100000;100000;100000;100000;100000;100000;200;100000;100000;100000;100000;100000
100000;100000;100000;200;0;100;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000
100000;100000;100000;100000;100;0;120;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000
100000;100000;100000;100000;100000;120;0;210;100000;100000;100000;100000;200;100000;100000;190;100000;100000;100000
100000;260;100000;100000;100000;100000;210;0;250;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000
100000;100000;100000;100000;100000;100000;100000;250;0;130;130;100000;90;100000;100000;100000;100000;100000;100000
100000;100000;100000;100000;100000;100000;100000;100000;130;0;100000;100000;100000;100000;100000;100000;100000;140;100000
100000;100000;100000;100000;100000;100000;100000;100000;130;100000;0;170;100000;100000;100;100000;100000;100000;100000
100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;170;0;300;100000;100000;100000;100000;100000;100
100000;100000;100000;100000;100000;100000;260;100000;90;100000;100000;300;0;100000;100000;100000;100000;100000;100000
100000;100000;100000;200;100000;100000;100000;100000;100000;100000;100000;100000;100000;0;100000;100000;100000;100000;100000
100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100;100000;100000;100000;0;100000;100000;100000;100000
100000;100000;100000;100000;100000;100000;190;100000;100000;100000;100000;100000;100000;100000;100000;0;100000;100000;100000
100;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;0;100000;100000
100000;100000;100000;100000;100000;100000;100000;100000;100000;140;100000;100000;100000;100000;100000;100000;100000;0;100000
100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100;100000;100000;100000;100000;100000;100000;0
